Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet)
Operator 1,Well 10704,TFH,9591.0,31.0,153,101,6,3223232.0,51878.0,11/6/2013,P & P,48.10935654,-103.7305441,LINEAR GEL (HC),660.0,31.67,203.583169,139.7983783,113.3355249,100.6318942,86.98224852,-6200384.801169257,4133868.3098336468
Operator 1,Well 10705,MBH,9069.0,27.0,153,101,6,3227144.0,44335.0,3/20/2013,P & P,48.1093563,-103.7307284,,594.457055,95.56,438.4944116,353.4845496,309.2756958,275.2867266,249.8055008,-6200427.644767583,4133883.342725696
Operator 41,Well 10706,MBH,9716.0,30.0,155,101,15,3951097.0,71954.0,8/22/2013,P & P,48.25485747,-103.6636054,SW-XL HYBRID,617.24348,106.69,584.2209073,438.220469,358.3716853,322.0834246,292.1652422,-6167048.424573613,4178877.3899488947
Operator 1,Well 10707,MBH,9654.0,30.0,155,97,5,4870665.0,185248.0,9/8/2014,P & P,48.28363064,-103.1855985,SLICKWATER (HC),660.0,132.45,762.7218935,657.9114618,524.8630287,426.4884214,,-6052680.600974084,4150162.639099754
Operator 1,Well 10708,MBH,9564.0,30.0,158,97,35,2647355.0,48618.0,3/10/2013,P & P,48.4602359,-103.176505,,660.0,66.36,344.9704142,290.6311637,227.4545255,192.7204325,168.5103002,-6029314.777853567,4210869.065796323
Operator 41,Well 10709,TFH,10925.0,33.0,156,100,27,5859438.0,230411.0,3/23/2015,P & P (cmt.),48.31289675,-103.5199541,,576.176015,77.83,545.0361604,,,,,-6126678.706895448,4187335.5602107816
Operator 22,Well 1071,TFH,10043.0,28.0,161,99,21,2408176.0,67290.0,2/16/2016,P & P (cmt.),48.75041528,-103.5394705,SLICKWATER (HC),660.0,54.71,,,,,,-6077890.817445778,4340967.978082214
Operator 41,Well 10710,TFH,9929.0,39.0,156,100,27,8798689.0,120129.0,3/1/2015,P & P (cmt.),48.31289972,-103.5194606,LINEAR GEL (HC),593.806245,75.04,448.4549638,,,,,-6126564.002952047,4187296.5310373646
Operator 1,Well 10711,TFH,9482.0,30.0,155,98,11,4441637.0,84847.0,2/16/2014,P & P,48.256096,-103.2546888,,372.36623,67.55,312.7876397,271.7400833,218.2226605,190.6165534,169.1184528,-6072037.277802303,4146146.0353426184
Operator 1,Well 10712,TFH,9550.0,30.0,157,98,19,2691397.0,50213.0,7/3/2013,P & P,48.40237845,-103.3894762,LINEAR GEL (HC),660.0,65.05,325.443787,265.6914311,224.6055227,199.5763021,178.2106071,-6085594.8711617915,4207867.33500768
Operator 24,Well 10713,TFH,8677.0,28.0,154,99,4,3672274.0,83662.0,8/2/2013,P & P,48.19555299,-103.4161415,CROSSLINKED (HC),392.60512,103.84,585.042735,474.0192856,355.4569362,305.6103441,271.6085908,-6116850.611874512,4138152.702924092
